,Decimal_latitude,Decimal_longitude,StationNumber,station_name,Date/Time,water_temp_c,"Turbid- ity, NTU","Dis- solvedoxygen, mg/L","pH, water,unfltrd field, std units","Salin- ity, water,unfltrd ppth","Total nitro- gen, water,unfltrd mg/L","Ammonia water, fltrd, mg/L as N","Nitrite water, fltrd, mg/L as N","Nitrate water, fltrd, mg/L as N","Phos- phate, water,unfltrd mg/L","Ortho- phos- phate, water, fltrd, mg/L as P","Hard- ness, water,mg/L as CaCO3","Calcium water, fltrd, mg/L","Magnes- ium, water, fltrd, mg/L","Sodium, water, fltrd, mg/L","Chlor- ide, water, fltrd, mg/L","Sulfate water, fltrd, mg/L","Fluor- ide, water, fltrd, mg/L","Copper, water, fltrd, ug/L","Zinc, water, fltrd, ug/L","PCBs, water,unfltrd g/d","Rhod- amine WT, water,unfltrd ug/L","Rn-222, water,unfltrd dpm/L","E coli,definedsubstr. test, water, MPN/ 100 mL","Nitrate water,unfltrd field, mg/L","Inorg. nitro- gen,disslvd calcd, mg/L as N","Ortho- phos- phate,wat flt field, mg/L as P","Turbdty white light,det ang90+/-30corrctd NTRU","Chloro-phyll atrichro -maticmethod,uncorr, ug/L","Chlor- ine, free avail- able,wat unf mg/L","pH, water,unfltrd lab, std units","Ammonia water, fltrd,est. byregres, mg/L as N"
0,38.2150706,-85.7480176,03123499,"BRADLEY CREEK AT LOUISVILLE, KY",11/01 00:55 EDT,17.9,--,8.3,7.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,38.32812414,-85.5938499,0329247350,"WOLF PEN BR AB POND DISCHARGE NR PROSPECT, KY",07/14 15:45 EDT,24.8,--,8.2,8.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2,38.2603486,-85.7182954,03293532,Beargrass Creek at Brownsboro Rd nr Louisville,07/14 15:30 EDT,25.8,--,5.1,7.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
3,35.1883333,-84.5025,03556590,HIWASSEE RIVER ABOVE RELIANCE,07/14 15:15 EDT,19.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,49.0,-105.4095861,06178500,East Poplar River at international boundary,07/14 13:30 MDT,21.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,34.3947222,-91.7202778,07263878,"Salt Bayou Ditch nr Humphrey, AR",07/14 13:45 CDT,28.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,34.14463889,-90.2301111,07280010,"TALLAHATCHIE RIVER AT ALLEN, MS",07/14 14:00 CDT,26.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,49.002338,-122.5232202,12212390,BERTRAND CREEK AT INTERNATIONAL BOUNDARY,07/14 12:00 PDT,18.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,46.0470361,-115.866161,13337095,"UPPER CLEAR CREEK NEAR KOOSKIA, ID",07/14 01:00 PDT,16.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,55.45931667,-132.716261,15085697,HARRIS R 1.2 MI AB MOUTH NR HOLLIS AK,07/14 11:15 AKDT,15.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,38.2846833,-85.821925,381704085941800,"AMERICAN QUEEN @ AMERICAN STEAMBOAT CO, NEW ALBANY",11/01 00:55 EDT,17.9,--,8.3,7.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,40.67444444,-73.6461111,404028073384601,"Hempstead Lake Buoy at Lakeview, NY",07/14 14:00 EST,29.0,--,9.1,9.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,41.3983333,-86.7027778,412354086421010,"KANKAKEE WELL FIELD WT-1 NEAR HANNA, IN",07/14 14:00 EST,14.6,--,--,7.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,44.2365,-73.91263889,441411073544501,"CONTROL, S SIDE RT 73 CATCH BASIN OUTLET NR N ELBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,44.29151944,-73.9552611,441729073571801,"ABRASIVES, E SIDE RT 86 CATCH BASIN OUT NR LK PLAC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,44.33453056,-73.9010806,442004073540301,"LOW-SALT, W SIDE RT 86 CATCH BASIN OUT NR LK PLACI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,47.0697222,-69.0794444,01011000,"Allagash River near Allagash, Maine",07/14 15:00 EDT,24.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,46.1811111,-67.80388889,01018035,"Meduxnekeag River at Lowery Rd. nr Houlton, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,44.39055556,-70.9797222,01054200,"Wild River at Gilead, Maine",07/14 15:45 EDT,19.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,45.1811111,-67.7780556,01018900,"West Grand Lake at Grand Lake Stream, Maine",07/14 15:00 EDT,18.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,45.2256833,-67.57705278,01019300,"Lewy Lake at Princeton, Maine",07/14 14:45 EDT,25.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,45.17,-67.2966667,01021050,"St. Croix River at Milltown, Maine",07/14 14:45 EDT,24.3,--,7.2,6.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,44.60805556,-67.93527778,01022500,"Narraguagus River at Cherryfield, Maine",07/14 15:00 EDT,24.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
